clue,pattern,answer,source,split
Cozy,????,Snug,NYT 12-19-2022,train
English county at one end of the Thames,?????,Essex,NYT 12-19-2022,train
"""Will there be anything ____?""",????,Else,NYT 12-19-2022,train
"""Washboard"" muscles, informally",???,Abs,NYT 12-19-2022,train
Beanies and bonnets,????,Hats,NYT 12-19-2022,train
Something in an office that's not PC?,????,Imac,NYT 12-19-2022,train
Sink attatchment,????,Pipe,NYT 12-19-2022,train
"""Yes, captain""",???,Aye,NYT 12-19-2022,train
_____-Royce,?????,Rolls,NYT 12-19-2022,train
Mrs. _____ (year-round North Pole resident),?????,Claus,NYT 12-19-2022,train
Soar,?????????,Skyrocket,NYT 12-19-2022,train
"1970 Jackson 5 hit with the line ""Easy as 1, 2, 3""",???,Abc,NYT 12-19-2022,train
Goof-off,???????,Slacker,NYT 12-19-2022,train
Some Japanese cuisine,?????,Sushi,NYT 12-19-2022,train
Giant computer of the 1940s,?????,Eniac,NYT 12-19-2022,train
Bird on many a birth announcement,?????,Stork,NYT 12-19-2022,train
More tightly packed,??????,Denser,NYT 12-19-2022,train
"Empire State Building style, for short",????,Deco,NYT 12-19-2022,train
Victorian ___ (1837-1901),???,Era,NYT 12-19-2022,train
"""What's gotten ____ you?""",????,Into,NYT 12-19-2022,train
Smudge,????,Spot,NYT 12-19-2022,train
Timbuktu's country,????,Mali,NYT 12-19-2022,train
Predictive sign,????,Omen,NYT 12-19-2022,train
Like a canceled check,????,Void,NYT 12-19-2022,train
Unspeakably awful,?????????,Execrable,NYT 12-19-2022,train
Hungry ___ bear,???,Asa,NYT 12-19-2022,train
Stratford's river,????,Avon,NYT 12-19-2022,train
Cairo's river,????,Nile,NYT 12-19-2022,train
"Something that can be wrapped using the starts of ""TAPEDELAY"", ""SCISSORKICK"", ""BOXSEAT"", ""PAPERTRAINED"", and ""BOWSTRING""",????,Gift,NYT 12-19-2022,train
"Roseanne of ""Roseanne""",????,Barr,NYT 12-19-2022,train
Org.,????,Assn,NYT 12-19-2022,train
Drifting platform for polar wildlife,???????,Icefloe,NYT 12-19-2022,train
Subway patrons,??????,Riders,NYT 12-19-2022,train
Baseball Hall-of-Famer Mel,???,Ott,NYT 12-19-2022,train
Nuisance,????,Pest,NYT 12-19-2022,train
Crew,?????,Posse,NYT 12-19-2022,train
"Pen name, e.g.",?????,Alias,NYT 12-19-2022,train
Coconut trees,?????,Palms,NYT 12-19-2022,train
Run _____ of (conflict with),?????,Afoul,NYT 12-19-2022,train
"""_____ all a dream!""",?????,Itwas,NYT 12-19-2022,train
"""Backlash Blues"" singer ____ Simone",????,Nina,NYT 12-19-2022,train
Give the cold shoulder,????,Snub,NYT 12-19-2022,train
Things usually sold by the dozen,????,Eggs,NYT 12-19-2022,train
"Instrument often used as the ""J"" in a ""Jazz Club"" sign",???,Sax,NYT 12-19-2022,train
Seek damages,???,Sue,NYT 12-19-2022,train
Cozy home in the woods,?????,cabin,NYT 12-12-2022,test
Cooking vessels for omelets,????,pans,NYT 12-12-2022,test
"Ask for, as a cigarette, informally",???,bum,NYT 12-12-2022,test
Putting to work,?????,using,NYT 12-12-2022,test
Box office dud,????,flop,NYT 12-12-2022,test
Lasso material,????,rope,NYT 12-12-2022,test
"*High-energy person, metaphorically",??????????,balloffire,NYT 12-12-2022,test
"Means justifiers, it's said",????,ends,NYT 12-12-2022,test
Nothing doing?,????,idle,NYT 12-12-2022,test
"""Who's there?"" response",?????,itsme,NYT 12-12-2022,test
Corp. honchos,????,ceos,NYT 12-12-2022,test
Melon with a yellow rind,??????,casaba,NYT 12-12-2022,test
Strategic maneuver,??????,tactic,NYT 12-12-2022,test
Ending with Oktober or gab,????,fest,NYT 12-12-2022,test
Rap culture,??????,hiphop,NYT 12-12-2022,test
"Obsolescent msuic purchases, in brief",???,cds,NYT 12-12-2022,test
Low-pH liquids,?????,acids,NYT 12-12-2022,test
Liberty Mutual alternative,?????,geico,NYT 12-12-2022,test
"Single, double or triple, in baseball",???,hit,NYT 12-12-2022,test
"Dog command � or a hint to the starts of the answers to ""*High-energy person, metaphorically"", ""*Documentation leading to proof"", ""*Some fine porcelain"", and ""*""Don't quit now!""""",???????,gofetch,NYT 12-12-2022,test
Org. for the Penguins and Ducks,???,nhl,NYT 12-12-2022,test
Popular sans-serif typeface,?????,arial,NYT 12-12-2022,test
Geological rift,?????,fault,NYT 12-12-2022,test
"""You've got mail!"" I.S.P.",???,aol,NYT 12-12-2022,test
Official order,??????,decree,NYT 12-12-2022,test
Christmas song,????,noel,NYT 12-12-2022,test
Fate,??????,kismet,NYT 12-12-2022,test
Major blunders,??????,snafus,NYT 12-12-2022,test
Fliers that may consume thousands of insects in an hour,????,bats,NYT 12-12-2022,test
Pimiento-stuffed treat,?????,olive,NYT 12-12-2022,test
____ fide,????,bona,NYT 12-12-2022,test
Soothing succulent,????,aloe,NYT 12-12-2022,test
*Documentation leading to proof,??????????,papertrail,NYT 12-12-2022,test
Hieroglyphic bird,????,ibis,NYT 12-12-2022,test
R&B great Redding,????,otis,NYT 12-12-2022,test
"Tries to deice, as winter roads",?????,salts,NYT 12-12-2022,test
"Bit of skin ink, informally",???,tat,NYT 12-12-2022,test
Cooped (up),????,pent,NYT 12-12-2022,test
Totally lost,?????,atsea,NYT 12-12-2022,test
Shaped like dice,?????,cubic,NYT 12-12-2022,test
Carne _____ (taco filling),?????,asada,NYT 12-12-2022,test
Football team in Buffalo,?????,bills,NYT 12-12-2022,test
Blooming with foliage,??????,inleaf,NYT 12-12-2022,test
"Oxfam or Mercy Corps, e.g., in brief",???,ngo,NYT 12-12-2022,test
[Gone � just like that!],????,pfft,NYT 12-12-2022,test
Like red-carpet celebrities,?????,alist,NYT 12-12-2022,test
_____ Rae (Sally Field title role),?????,norma,NYT 12-12-2022,test
Oration,??????,speech,NYT 12-12-2022,test
*Some fine porcelain,?????????,bonechina,NYT 12-12-2022,test
Beehive or French twist,????,updo,NYT 12-12-2022,test
Kitchen description after Spaghetti Sunday,????,mess,NYT 12-12-2022,test
A cook might have a secret one,??????,recipe,NYT 12-12-2022,test
Ludicrous failure,??????,fiasco,NYT 12-12-2022,test
"Snoopy and Gromit, for two",???????,beagles,NYT 12-12-2022,test
"Turn clockwise, as a screw",???????,tighten,NYT 12-12-2022,test
Petty kerfuffle,????,tiff,NYT 12-12-2022,test
Eight: Sp.,????,ocho,NYT 12-12-2022,test
Opinion survey,????,poll,NYT 12-12-2022,test
Country east of Niger,????,chad,NYT 12-12-2022,test
In ____ straits,????,dire,NYT 12-12-2022,test
"*""Don't quit now!""",?????????,sticktoit,NYT 12-12-2022,test
Narc's org.,???,dea,NYT 12-12-2022,test
Leave astounded,????,stun,NYT 12-12-2022,test
Pitcher sent in to seal a win,??????,closer,NYT 12-12-2022,test
Crops up,??????,arises,NYT 12-12-2022,test
Panic! At the Disco genre,??????,emopop,NYT 12-12-2022,test
"One navigating a maze, maybe",??????,labrat,NYT 12-12-2022,test
Give joy,?????,elate,NYT 12-12-2022,test
Basketball rebound play,?????,tipin,NYT 12-12-2022,test
Newborn horses,?????,foals,NYT 12-12-2022,test
Join forces,?????,unite,NYT 12-12-2022,test
It can be verde or roja,?????,salsa,NYT 12-12-2022,test
"""Sin City"" co-star Jessica",????,bait,NYT 12-12-2022,test
Waistcoat,????,alba,NYT 12-12-2022,test
Airport grp.,???,tsa,NYT 12-12-2022,test
